199
t_index tf-idf 
4022 3.039414119176137
1325 2.738384123512156
7157 1.760660518223308
2028 3.039414119176137
12105 3.039414119176137
10137 3.039414119176137
3912 3.039414119176137
9724 3.039414119176137
4973 2.5622928644564746
10696 2.738384123512156
5673 2.340444114840118
7936 3.039414119176137
9952 2.738384123512156
3029 3.039414119176137
8785 3.039414119176137
9602 3.039414119176137
6275 3.039414119176137
7902 2.4373541278481747
9732 3.039414119176137
5087 3.039414119176137
4359 9.11824235752841
3802 3.039414119176137
12133 2.738384123512156
1885 3.039414119176137
5914 3.039414119176137
8248 3.039414119176137
11903 2.738384123512156
751 3.039414119176137
10031 3.039414119176137
1500 2.738384123512156
6297 3.039414119176137
3876 3.039414119176137
3474 3.039414119176137
10593 3.039414119176137
5443 3.039414119176137
10228 3.039414119176137
2876 3.039414119176137
11436 2.1363241321841935
4645 3.039414119176137
6382 3.039414119176137
9737 3.039414119176137
660 2.738384123512156
11576 2.2612628687924934
1614 3.039414119176137
10272 3.039414119176137
6040 2.738384123512156
9624 3.039414119176137
4733 3.039414119176137
10222 3.039414119176137
5945 3.039414119176137
2143 3.039414119176137
3623 2.5622928644564746
10544 3.039414119176137
9293 2.1363241321841935
7168 3.039414119176137
5037 3.039414119176137
7035 3.039414119176137
4040 3.039414119176137
9135 3.039414119176137
11866 2.738384123512156
2130 2.738384123512156
4071 3.039414119176137
236 3.039414119176137
7437 3.039414119176137
8776 3.039414119176137
10765 3.039414119176137
2692 3.039414119176137
9914 3.039414119176137
9605 3.039414119176137
11838 3.039414119176137
11127 3.039414119176137
9290 3.039414119176137
5283 3.039414119176137
12058 3.039414119176137
10525 2.738384123512156
11176 3.039414119176137
1101 2.738384123512156
2920 2.738384123512156
10265 2.1943160791618803
12104 3.039414119176137
1157 3.039414119176137
9613 3.039414119176137
1185 2.4373541278481747
5744 3.039414119176137
1906 3.039414119176137
1189 3.039414119176137
2544 2.1943160791618803
230 2.738384123512156
7608 3.039414119176137
5084 3.039414119176137
8424 3.039414119176137
6224 3.039414119176137
2062 3.039414119176137
6635 2.340444114840118
1883 3.039414119176137
1436 3.039414119176137
10216 3.039414119176137
4902 3.039414119176137
4960 3.039414119176137
1112 3.039414119176137
10707 3.039414119176137
4127 3.039414119176137
1727 3.039414119176137
11141 3.039414119176137
7438 2.4373541278481747
1341 3.039414119176137
367 1.8633228601204557
4318 3.039414119176137
2633 2.2612628687924934
12083 3.039414119176137
5987 3.039414119176137
3695 2.738384123512156
4853 3.039414119176137
9385 3.039414119176137
3398 2.738384123512156
11020 3.039414119176137
373 3.039414119176137
579 3.039414119176137
5281 3.039414119176137
959 3.039414119176137
1599 3.039414119176137
8156 3.039414119176137
2807 3.039414119176137
2018 2.738384123512156
119 2.5622928644564746
12197 1.9980214340179119
8771 3.039414119176137
11054 3.039414119176137
9752 3.039414119176137
3682 3.039414119176137
4624 3.039414119176137
4912 2.738384123512156
925 3.039414119176137
6599 3.039414119176137
8196 3.039414119176137
2782 3.039414119176137
1675 3.039414119176137
6054 3.039414119176137
11052 3.039414119176137
6746 2.4373541278481747
872 3.039414119176137
2847 3.039414119176137
6223 2.5622928644564746
3944 3.039414119176137
4319 3.039414119176137
6597 3.039414119176137
12217 3.039414119176137
8444 3.039414119176137
8978 3.039414119176137
1512 3.039414119176137
2706 3.039414119176137
1340 3.039414119176137
12017 2.5622928644564746
3655 2.2612628687924934
5223 3.039414119176137
5284 3.039414119176137
6051 3.039414119176137
8050 3.039414119176137
3733 2.738384123512156
11947 3.039414119176137
10594 2.738384123512156
12084 2.738384123512156
9013 3.039414119176137
4101 3.039414119176137
12137 3.039414119176137
1098 3.039414119176137
1798 3.039414119176137
3992 3.039414119176137
824 3.039414119176137
6139 3.039414119176137
4521 2.738384123512156
5952 2.738384123512156
4942 3.039414119176137
4007 3.039414119176137
5498 3.039414119176137
2016 3.039414119176137
1195 3.039414119176137
2474 3.039414119176137
8601 3.039414119176137
2337 3.039414119176137
11131 3.039414119176137
4744 2.5622928644564746
3339 3.039414119176137
8846 3.039414119176137
4453 3.039414119176137
12198 1.9254707668693
6793 3.039414119176137
3253 3.039414119176137
5776 3.039414119176137
3999 2.4373541278481747
2295 2.5622928644564746
1212 3.039414119176137
3125 3.039414119176137
9728 3.039414119176137
6370 2.5622928644564746
1163 2.1943160791618803
3648 3.039414119176137
3252 2.5622928644564746
4379 2.738384123512156
