89
t_index tf-idf 
12230 1.8633228601204557
2733 3.039414119176137
4022 3.039414119176137
7511 2.738384123512156
8274 1.1881557704570618
9935 1.9602328731285121
6762 2.5622928644564746
10245 2.738384123512156
955 2.738384123512156
9091 3.039414119176137
9289 3.039414119176137
3342 2.340444114840118
7902 2.4373541278481747
69 3.039414119176137
10977 2.738384123512156
10923 2.738384123512156
8397 3.039414119176137
6920 2.1363241321841935
8507 2.738384123512156
1609 3.039414119176137
11436 2.1363241321841935
6382 3.039414119176137
11209 3.039414119176137
6030 3.039414119176137
1719 3.039414119176137
10872 1.8089651977978631
9224 2.340444114840118
12085 3.039414119176137
11866 2.738384123512156
11008 2.4373541278481747
2740 3.039414119176137
9050 2.340444114840118
328 3.039414119176137
10374 3.039414119176137
10765 3.039414119176137
4199 3.039414119176137
10149 3.039414119176137
2457 3.039414119176137
10162 3.039414119176137
11305 3.039414119176137
7414 2.738384123512156
4116 3.039414119176137
1821 3.039414119176137
11838 3.039414119176137
4119 3.039414119176137
290 3.039414119176137
11739 3.039414119176137
10435 2.5622928644564746
8619 3.039414119176137
9290 3.039414119176137
5373 3.039414119176137
10265 2.1943160791618803
1910 3.039414119176137
2882 3.039414119176137
1906 3.039414119176137
9871 2.738384123512156
10405 3.039414119176137
109 3.039414119176137
1530 2.4373541278481747
7419 3.039414119176137
1436 3.039414119176137
8951 2.738384123512156
5600 3.039414119176137
77 3.039414119176137
1935 2.4373541278481747
214 3.039414119176137
1391 3.039414119176137
2678 3.039414119176137
3315 3.039414119176137
959 3.039414119176137
8114 2.2612628687924934
1791 3.039414119176137
9060 3.039414119176137
9588 2.340444114840118
1422 3.039414119176137
11251 3.039414119176137
8936 3.039414119176137
6746 2.4373541278481747
10697 3.039414119176137
3850 2.738384123512156
8922 3.039414119176137
2255 3.039414119176137
7776 3.039414119176137
8892 2.5622928644564746
5308 3.039414119176137
11043 2.738384123512156
2725 3.039414119176137
3877 3.039414119176137
499 3.039414119176137
